scope,samples,r2,mae_multiplier,rmse_multiplier,mae_adr,rmse_adr,mae_php,rmse_php
Unified Model,23479,0.5759542642418886,0.21443963185095816,0.3006747194622115,22.059851450652165,30.65085042792801,1367.7107899404343,1900.3527265315367
City Hotel Subset,15655,0.43836726152859373,0.1944072213622468,0.26031698201630354,20.775327710876503,27.818774283172278,1288.0703180743433,1724.7640055566812
Resort Hotel Subset,7824,0.659313438210298,0.2545223754860267,0.3683832982925988,24.63004817179071,35.648332942452754,1527.062986651024,2210.196642432071
