"visibility","datetime","main.temp","main.feels_like","main.temp_min","main.temp_max","main.pressure","main.humidity","main.sea_level","main.grnd_level","wind.speed","wind.deg","wind.gust","clouds.all","sys.sunrise","sys.sunset","weather.main","weather.description","city_name","rain.1h"
10000.0,"2025-01-01 00:06:01+08:00",26.33,26.33,26.33,26.33,1011.0,80.0,1011.0,1005.0,3.48,131.0,5.79,85.0,"2025-01-01 06:27:51+08:00","2025-01-01 17:38:52+08:00","Clouds","overcast clouds","Alaminos",""
10000.0,"2025-01-01 00:06:02+08:00",26.25,26.25,26.25,26.25,1012.0,83.0,1012.0,994.0,1.03,200.0,"",40.0,"2025-01-01 06:23:37+08:00","2025-01-01 17:38:18+08:00","Clouds","scattered clouds","Angeles City",""
10000.0,"2025-01-01 00:06:03+08:00",23.26,24.04,23.26,23.26,1012.0,92.0,1012.0,972.0,2.83,78.0,4.06,74.0,"2025-01-01 06:22:02+08:00","2025-01-01 17:35:01+08:00","Clouds","broken clouds","Antipolo",""
10000.0,"2025-01-01 00:06:04+08:00",24.69,25.59,24.69,24.69,1010.0,91.0,1010.0,1001.0,3.07,29.0,5.69,100.0,"2025-01-01 06:06:41+08:00","2025-01-01 17:31:50+08:00","Clouds","overcast clouds","Bacolod",""
10000.0,"2025-01-01 00:04:30+08:00",27.21,31.11,26.13,28.03,1011.0,88.0,1011.0,1008.0,1.54,130.0,"",75.0,"2025-01-01 06:20:59+08:00","2025-01-01 17:38:10+08:00","Clouds","broken clouds","Bacoor",""
10000.0,"2025-01-01 00:06:09+08:00",26.25,26.25,26.25,26.25,1010.0,85.0,1010.0,1007.0,4.02,8.0,5.42,98.0,"2025-01-01 06:06:24+08:00","2025-01-01 17:37:31+08:00","Clouds","overcast clouds","Bago City",""
10000.0,"2025-01-01 00:06:11+08:00",15.26,15.22,15.26,15.26,1013.0,91.0,1013.0,923.0,2.78,62.0,1.93,35.0,"2025-01-01 06:25:53+08:00","2025-01-01 17:35:57+08:00","Clouds","scattered clouds","Baguio",""
10000.0,"2025-01-01 00:06:13+08:00",26.35,26.35,26.35,26.35,1010.0,84.0,1010.0,991.0,0.53,62.0,1.33,100.0,"2025-01-01 06:03:36+08:00","2025-01-01 17:38:00+08:00","Clouds","overcast clouds","Bais",""
10000.0,"2025-01-01 00:06:15+08:00",25.88,26.74,25.88,25.88,1012.0,85.0,1012.0,995.0,2.7,90.0,3.89,87.0,"2025-01-01 06:22:57+08:00","2025-01-01 17:39:21+08:00","Clouds","overcast clouds","Balanga",""
10000.0,"2025-01-01 00:06:17+08:00",26.88,28.97,26.88,26.88,1011.0,74.0,1011.0,1001.0,4.12,10.0,"",75.0,"2025-01-01 06:29:02+08:00","2025-01-01 17:33:01+08:00","Clouds","broken clouds","Batac City",""
