"visibility","datetime","main.temp","main.feels_like","main.temp_min","main.temp_max","main.pressure","main.humidity","main.sea_level","main.grnd_level","wind.speed","wind.deg","wind.gust","clouds.all","sys.sunrise","sys.sunset","weather.main","weather.description","city_name","rain.1h"
10000.0,"2026-04-01 00:00:00+08:00",25.86,26.43,25.86,25.86,1012.0,74.0,1012.0,1006.0,0.77,316.0,1.37,12.0,"2026-04-01 05:55:23+08:00","2026-04-01 18:12:30+08:00","Clouds","few clouds","Alaminos",""
8000.0,"2026-04-01 00:00:02+08:00",27.25,29.19,27.25,27.25,1013.0,69.0,1013.0,995.0,1.03,270.0,"",20.0,"2026-04-01 05:53:19+08:00","2026-04-01 18:09:44+08:00","Clouds","few clouds","Angeles City",""
10000.0,"2026-04-01 00:00:04+08:00",25.03,25.78,25.03,25.03,1013.0,84.0,1013.0,973.0,2.12,85.0,1.78,61.0,"2026-04-01 05:50:44+08:00","2026-04-01 18:07:28+08:00","Clouds","broken clouds","Antipolo",""
10000.0,"2026-04-01 00:00:06+08:00",25.13,25.71,25.13,25.13,1012.0,77.0,1012.0,1003.0,5.02,53.0,8.78,5.0,"2026-04-01 05:42:37+08:00","2026-04-01 17:57:03+08:00","Clear","clear sky","Bacolod",""
10000.0,"2026-04-01 00:00:09+08:00",27.4,29.97,26.73,28.03,1012.0,74.0,1012.0,1009.0,2.57,140.0,"",20.0,"2026-04-01 05:52:10+08:00","2026-04-01 18:08:07+08:00","Clouds","few clouds","Bacoor",""
10000.0,"2026-04-01 00:00:12+08:00",26.72,28.46,26.72,26.72,1011.0,71.0,1011.0,1008.0,5.03,19.0,6.56,56.0,"2026-04-01 05:45:53+08:00","2026-04-01 17:59:11+08:00","Clouds","broken clouds","Bago City",""
10000.0,"2026-03-31 23:56:05+08:00",15.91,16.14,15.91,15.91,1014.0,99.0,1014.0,923.0,1.34,266.0,3.13,16.0,"2026-04-01 05:52:50+08:00","2026-04-01 18:10:08+08:00","Clouds","few clouds","Baguio",""
10000.0,"2026-04-01 00:00:19+08:00",25.57,26.32,25.57,25.57,1011.0,82.0,1011.0,992.0,0.84,69.0,1.15,84.0,"2026-04-01 05:45:02+08:00","2026-04-01 17:57:43+08:00","Clouds","broken clouds","Bais",""
10000.0,"2026-04-01 00:00:21+08:00",27.04,29.55,27.04,27.04,1012.0,77.0,1012.0,996.0,3.48,139.0,3.82,2.0,"2026-04-01 05:53:40+08:00","2026-04-01 18:09:46+08:00","Clear","clear sky","Balanga",""
10000.0,"2026-03-31 23:57:23+08:00",25.88,26.85,25.88,25.88,1012.0,89.0,1012.0,1002.0,1.03,110.0,"",20.0,"2026-04-01 05:52:22+08:00","2026-04-01 18:10:50+08:00","Clouds","few clouds","Batac City",""
10000.0,"2026-04-01 00:00:26+08:00",23.55,24.02,23.55,23.55,1012.0,79.0,1012.0,1004.0,2.69,61.0,3.15,5.0,"2026-04-01 05:51:56+08:00","2026-04-01 18:07:23+08:00","Clear","clear sky","Batangas City",""
10000.0,"2026-04-01 00:00:28+08:00",25.29,25.96,25.29,25.29,1011.0,80.0,1011.0,993.0,1.7,77.0,1.6,91.0,"2026-04-01 05:46:23+08:00","2026-04-01 17:58:56+08:00","Clouds","overcast clouds","Bayawan",""
10000.0,"2026-04-01 00:00:31+08:00",26.86,29.52,26.86,26.86,1013.0,81.0,1013.0,1002.0,3.31,101.0,4.18,19.0,"2026-04-01 05:41:24+08:00","2026-04-01 17:56:37+08:00","Clouds","few clouds","Baybay",""
10000.0,"2026-04-01 00:00:33+08:00",22.08,22.85,22.08,22.08,1012.0,96.0,1012.0,990.0,0.67,350.0,0.72,84.0,"2026-04-01 05:34:43+08:00","2026-04-01 17:46:52+08:00","Clouds","broken clouds","Bayugan",""
10000.0,"2026-04-01 00:00:35+08:00",24.04,24.67,24.04,24.04,1012.0,83.0,1012.0,1009.0,1.64,345.0,1.73,88.0,"2026-04-01 05:36:54+08:00","2026-04-01 17:50:33+08:00","Clouds","overcast clouds","Bislig",""
10000.0,"2026-04-01 00:00:38+08:00",27.11,29.5,26.72,28.02,1012.0,75.0,1012.0,1001.0,2.57,140.0,"",20.0,"2026-04-01 05:51:36+08:00","2026-04-01 18:07:28+08:00","Clouds","few clouds","Biñan",""
