"visibility","datetime","coord.lon","coord.lat","main.temp","main.feels_like","main.temp_min","main.temp_max","main.pressure","main.humidity","main.sea_level","main.grnd_level","wind.speed","wind.deg","wind.gust","clouds.all","sys.sunrise","sys.sunset","weather.id","weather.main","weather.description","weather.icon","extraction_date_time","city_name","sys.type","sys.id","rain.1h"
10000.0,"2024-05-01 00:06:36+08:00",125.5436,8.9492,26.12,26.12,26.12,26.12,1010.0,95.0,1010.0,996.0,2.18,149.0,4.88,100.0,"2024-05-01 05:21:36+08:00","2024-05-01 17:48:04+08:00",804.0,"Clouds","overcast clouds","04n","2024-05-01 00:06:36.040527+08:00","Butuan",2.0,2093017.0,""
10000.0,"2024-05-01 00:06:38+08:00",125.5344,9.1236,26.11,26.11,26.11,26.11,1011.0,95.0,"","",2.19,132.0,3.59,100.0,"2024-05-01 05:21:26+08:00","2024-05-01 17:48:17+08:00",804.0,"Clouds","overcast clouds","04n","2024-05-01 00:06:38.074473+08:00","Cabadbaran",2.0,2093017.0,""
10000.0,"2024-05-01 00:06:39+08:00",120.9667,15.4833,27.12,29.61,27.12,27.12,1009.0,76.0,1009.0,1007.0,2.71,86.0,4.33,36.0,"2024-05-01 05:32:24+08:00","2024-05-01 18:13:52+08:00",802.0,"Clouds","scattered clouds","03n","2024-05-01 00:06:39.182095+08:00","Cabanatuan City",2.0,2090375.0,""
10000.0,"2024-05-01 00:06:40+08:00",121.1262,14.2726,29.49,36.49,29.39,30.03,1009.0,85.0,1009.0,1001.0,4.06,108.0,7.3,71.0,"2024-05-01 05:33:11+08:00","2024-05-01 18:11:49+08:00",803.0,"Clouds","broken clouds","04n","2024-05-01 00:06:40.604651+08:00","Cabuyao",2.0,2084056.0,""
10000.0,"2024-05-01 00:06:41+08:00",123.2856,10.9506,27.73,31.57,27.73,27.73,1009.0,81.0,1009.0,997.0,5.19,108.0,6.69,100.0,"2024-05-01 05:28:22+08:00","2024-05-01 17:59:21+08:00",804.0,"Clouds","overcast clouds","04n","2024-05-01 00:06:41.950406+08:00","Cadiz","","",""
10000.0,"2024-05-01 00:06:43+08:00",124.6472,8.4822,25.94,26.81,25.94,25.94,1009.0,85.0,1009.0,998.0,1.68,155.0,1.64,94.0,"2024-05-01 05:25:42+08:00","2024-05-01 17:51:07+08:00",804.0,"Clouds","overcast clouds","04n","2024-05-01 00:06:43.197656+08:00","Cagayan de Oro","","",""
10000.0,"2024-05-01 00:06:44+08:00",120.8133,13.9324,25.95,25.95,25.95,25.95,1009.0,88.0,1009.0,997.0,3.35,95.0,6.74,69.0,"2024-05-01 05:34:50+08:00","2024-05-01 18:12:40+08:00",803.0,"Clouds","broken clouds","04n","2024-05-01 00:06:44.464748+08:00","Calaca","","",""
10000.0,"2024-05-01 00:06:46+08:00",121.1653,14.2117,29.41,36.41,29.39,29.97,1009.0,85.0,1009.0,998.0,3.38,107.0,5.87,76.0,"2024-05-01 05:33:06+08:00","2024-05-01 18:11:35+08:00",803.0,"Clouds","broken clouds","04n","2024-05-01 00:06:46.793434+08:00","Calamba",2.0,2084056.0,""
10000.0,"2024-05-01 00:06:47+08:00",121.1803,13.4117,27.75,30.94,27.75,27.75,1010.0,76.0,1010.0,1000.0,2.26,117.0,3.48,100.0,"2024-05-01 05:33:58+08:00","2024-05-01 18:10:35+08:00",804.0,"Clouds","overcast clouds","04n","2024-05-01 00:06:47.941562+08:00","Calapan","","",""
10000.0,"2024-05-01 00:06:49+08:00",124.6,12.0667,25.17,25.99,25.17,25.17,1010.0,86.0,1010.0,1005.0,3.11,92.0,4.53,54.0,"2024-05-01 05:21:51+08:00","2024-05-01 17:55:22+08:00",803.0,"Clouds","broken clouds","04n","2024-05-01 00:06:49.961884+08:00","Calbayog City","","",""
10000.0,"2024-05-01 00:04:28+08:00",120.9667,14.65,30.01,36.33,29.45,30.1,1010.0,75.0,"","",3.6,120.0,"",20.0,"2024-05-01 05:33:23+08:00","2024-05-01 18:12:53+08:00",801.0,"Clouds","few clouds","02n","2024-05-01 00:06:51.644425+08:00","Caloocan City",2.0,2008256.0,""
10000.0,"2024-05-01 00:06:53+08:00",120.4517,17.1947,28.21,32.3,28.21,28.21,1008.0,78.0,1008.0,1002.0,0.94,54.0,1.22,0.0,"2024-05-01 05:32:25+08:00","2024-05-01 18:17:59+08:00",800.0,"Clear","clear sky","01n","2024-05-01 00:06:53.801437+08:00","Candon","","",""
10000.0,"2024-05-01 00:06:55+08:00",123.1964,10.3864,23.37,24.11,23.37,23.37,1010.0,90.0,1010.0,957.0,2.4,137.0,2.98,100.0,"2024-05-01 05:29:22+08:00","2024-05-01 17:59:04+08:00",804.0,"Clouds","overcast clouds","04n","2024-05-01 00:06:55.803645+08:00","Canlaon","","",""
10000.0,"2024-05-01 00:06:57+08:00",123.6402,10.1061,28.98,34.69,28.98,28.98,1009.0,80.0,1009.0,1000.0,6.6,95.0,9.36,100.0,"2024-05-01 05:27:55+08:00","2024-05-01 17:56:58+08:00",500.0,"Rain","light rain","10n","2024-05-01 00:06:57.165802+08:00","Carcar",1.0,8187.0,0.12
10000.0,"2024-05-01 00:02:05+08:00",121.0576,14.3132,29.42,36.42,29.32,29.97,1010.0,82.0,"","",2.68,144.0,3.13,69.0,"2024-05-01 05:33:25+08:00","2024-05-01 18:12:08+08:00",803.0,"Clouds","broken clouds","04n","2024-05-01 00:06:58.536803+08:00","Carmona",2.0,2084056.0,""
10000.0,"2024-05-01 00:07:01+08:00",124.8861,11.7753,25.21,26.01,25.21,25.21,1010.0,85.0,1010.0,1006.0,3.22,111.0,4.68,71.0,"2024-05-01 05:21:02+08:00","2024-05-01 17:53:53+08:00",803.0,"Clouds","broken clouds","04n","2024-05-01 00:07:01.068517+08:00","Catbalogan","","",""
10000.0,"2024-05-01 00:07:02+08:00",121.7725,16.9347,25.5,26.06,25.5,25.5,1009.0,75.0,1009.0,1003.0,1.37,173.0,1.58,0.0,"2024-05-01 05:27:26+08:00","2024-05-01 18:12:23+08:00",800.0,"Clear","clear sky","01n","2024-05-01 00:07:02.584838+08:00","Cauayan","","",""
10000.0,"2024-05-01 00:07:04+08:00",120.9169,14.4825,29.73,36.59,29.47,30.12,1009.0,79.0,"","",3.6,120.0,"",20.0,"2024-05-01 05:33:47+08:00","2024-05-01 18:12:54+08:00",801.0,"Clouds","few clouds","02n","2024-05-01 00:07:04.076804+08:00","Cavite City",1.0,8160.0,""
10000.0,"2024-05-01 00:07:05+08:00",123.8907,10.3167,28.81,34.01,28.81,28.81,1010.0,79.0,"","",1.54,120.0,"",75.0,"2024-05-01 05:26:40+08:00","2024-05-01 17:56:12+08:00",803.0,"Clouds","broken clouds","04n","2024-05-01 00:07:05.276401+08:00","Cebu City",1.0,8187.0,""
10000.0,"2024-05-01 00:07:07+08:00",121.1,14.6333,29.88,35.97,29.41,30.05,1009.0,75.0,"","",3.6,120.0,"",20.0,"2024-05-01 05:32:52+08:00","2024-05-01 18:12:20+08:00",801.0,"Clouds","few clouds","02n","2024-05-01 00:07:07.375515+08:00","City of Marikina",2.0,2008256.0,""
10000.0,"2024-05-01 00:07:09+08:00",123.5833,12.3333,27.08,29.72,27.08,27.08,1010.0,78.0,1010.0,999.0,3.84,99.0,7.52,62.0,"2024-05-01 05:25:36+08:00","2024-05-01 17:59:44+08:00",803.0,"Clouds","broken clouds","04n","2024-05-01 00:07:09.664478+08:00","City of Masbate","","",""
10000.0,"2024-05-01 00:07:12+08:00",122.65,11.15,28.12,32.56,28.12,28.12,1009.0,81.0,1009.0,1003.0,1.5,20.0,3.79,100.0,"2024-05-01 05:30:41+08:00","2024-05-01 18:02:07+08:00",804.0,"Clouds","overcast clouds","04n","2024-05-01 00:07:12.139000+08:00","City of Passi",2.0,2073369.0,""
10000.0,"2024-05-01 00:07:14+08:00",123.9833,12.9833,25.67,26.59,25.67,25.67,1010.0,88.0,1010.0,997.0,2.48,93.0,5.43,15.0,"2024-05-01 05:23:16+08:00","2024-05-01 17:58:53+08:00",801.0,"Clouds","few clouds","02n","2024-05-01 00:07:14.554801+08:00","City of Sorsogon","","",""
10000.0,"2024-05-01 00:07:15+08:00",124.2464,7.2236,24.78,25.82,24.78,24.78,1010.0,96.0,1010.0,1003.0,0.9,71.0,1.05,100.0,"2024-05-01 05:28:42+08:00","2024-05-01 17:51:20+08:00",500.0,"Rain","light rain","10n","2024-05-01 00:07:15.652362+08:00","Cotabato","","",0.21
10000.0,"2024-05-01 00:07:17+08:00",121.5047,17.7061,26.41,26.41,26.41,26.41,1009.0,83.0,1009.0,995.0,1.21,337.0,1.27,0.0,"2024-05-01 05:27:35+08:00","2024-05-01 18:14:23+08:00",800.0,"Clear","clear sky","01n","2024-05-01 00:07:17.568096+08:00","Dagupan","","",""
10000.0,"2024-05-01 00:07:19+08:00",124.0272,10.5208,29.03,35.73,29.03,29.03,1010.0,84.0,1010.0,991.0,2.04,146.0,2.56,100.0,"2024-05-01 05:25:54+08:00","2024-05-01 17:55:54+08:00",804.0,"Clouds","overcast clouds","04n","2024-05-01 00:07:19.202115+08:00","Danao",1.0,8187.0,""
10000.0,"2024-05-01 00:05:31+08:00",123.9469,10.2706,29.03,34.61,29.03,29.03,1010.0,79.0,"","",1.54,120.0,"",75.0,"2024-05-01 05:26:30+08:00","2024-05-01 17:55:56+08:00",803.0,"Clouds","broken clouds","04n","2024-05-01 00:07:20.401893+08:00","Dapitan",1.0,8187.0,""
10000.0,"2024-05-01 00:04:10+08:00",120.9367,14.3294,29.07,35.85,28.95,29.6,1009.0,84.0,1009.0,993.0,4.61,117.0,8.09,73.0,"2024-05-01 05:33:53+08:00","2024-05-01 18:12:38+08:00",803.0,"Clouds","broken clouds","04n","2024-05-01 00:07:22.712102+08:00","Dasmariñas",2.0,2084056.0,""
10000.0,"2024-05-01 00:07:17+08:00",125.6128,7.0731,25.05,26.22,25.05,25.05,1010.0,100.0,"","",1.03,360.0,"",100.0,"2024-05-01 05:23:24+08:00","2024-05-01 17:45:42+08:00",804.0,"Clouds","overcast clouds","04n","2024-05-01 00:07:23.948185+08:00","Davao",1.0,8154.0,""
10000.0,"2024-05-01 00:07:25+08:00",125.3572,6.7497,25.17,26.07,25.17,25.17,1010.0,89.0,1010.0,993.0,0.26,268.0,0.98,100.0,"2024-05-01 05:24:47+08:00","2024-05-01 17:46:22+08:00",500.0,"Rain","light rain","10n","2024-05-01 00:07:25.166998+08:00","Digos","","",0.25
10000.0,"2024-05-01 00:07:17+08:00",123.3414,8.5894,26.11,26.11,26.11,26.11,1009.0,88.0,1009.0,1003.0,1.77,155.0,2.24,100.0,"2024-05-01 05:30:48+08:00","2024-05-01 17:56:28+08:00",804.0,"Clouds","overcast clouds","04n","2024-05-01 00:07:26.298220+08:00","Dipolog","","",""
10000.0,"2024-05-01 00:07:27+08:00",123.3081,9.3103,27.06,30.69,27.06,27.06,1010.0,88.0,1010.0,982.0,2.17,60.0,4.34,100.0,"2024-05-01 05:30:08+08:00","2024-05-01 17:57:24+08:00",500.0,"Rain","light rain","10n","2024-05-01 00:07:27.757724+08:00","Dumaguete","","",0.11
10000.0,"2024-05-01 00:07:29+08:00",124.5225,8.5631,26.52,26.52,26.52,26.52,1009.0,85.0,1009.0,1000.0,2.33,193.0,2.4,90.0,"2024-05-01 05:26:07+08:00","2024-05-01 17:51:43+08:00",804.0,"Clouds","overcast clouds","04n","2024-05-01 00:07:29.197575+08:00","El Salvador","","",""
10000.0,"2024-05-01 00:07:30+08:00",123.4992,10.8403,27.4,30.89,27.4,27.4,1009.0,82.0,1009.0,1000.0,3.29,101.0,3.46,100.0,"2024-05-01 05:27:39+08:00","2024-05-01 17:58:22+08:00",804.0,"Clouds","overcast clouds","04n","2024-05-01 00:07:30.993317+08:00","Escalante","","",""
10000.0,"2024-05-01 00:07:33+08:00",120.9464,15.3072,27.19,29.76,27.19,30.74,1009.0,76.0,1009.0,1010.0,2.3,85.0,3.61,30.0,"2024-05-01 05:32:41+08:00","2024-05-01 18:13:45+08:00",802.0,"Clouds","scattered clouds","03n","2024-05-01 00:07:33.287302+08:00","Gapan",2.0,2090375.0,""
10000.0,"2024-05-01 00:07:35+08:00",125.1717,6.1128,25.47,26.37,25.47,25.47,1009.0,88.0,1009.0,997.0,1.52,20.0,1.88,100.0,"2024-05-01 05:26:14+08:00","2024-05-01 17:46:24+08:00",500.0,"Rain","light rain","10n","2024-05-01 00:07:35.483964+08:00","General Santos","","",0.25
10000.0,"2024-05-01 00:07:36+08:00",120.8817,14.3869,29.51,36.51,29.36,30.01,1009.0,82.0,1009.0,1001.0,6.12,118.0,8.45,71.0,"2024-05-01 05:34:02+08:00","2024-05-01 18:12:55+08:00",803.0,"Clouds","broken clouds","04n","2024-05-01 00:07:36.914115+08:00","General Trias",2.0,2084056.0,""
10000.0,"2024-05-01 00:07:38+08:00",125.1167,8.8333,25.87,26.89,25.87,25.87,1010.0,91.0,1010.0,948.0,1.91,159.0,4.07,94.0,"2024-05-01 05:23:26+08:00","2024-05-01 17:49:38+08:00",804.0,"Clouds","overcast clouds","04n","2024-05-01 00:07:38.556150+08:00","Gingoog City","","",""
10000.0,"2024-05-01 00:07:40+08:00",122.8706,10.0989,28.08,31.68,28.08,28.08,1009.0,76.0,1009.0,988.0,2.54,113.0,3.56,100.0,"2024-05-01 05:31:00+08:00","2024-05-01 18:00:03+08:00",500.0,"Rain","light rain","10n","2024-05-01 00:07:40.391270+08:00","Himamaylan","","",0.38
10000.0,"2024-05-01 00:07:42+08:00",121.8892,17.1485,26.39,26.39,26.39,26.39,1009.0,76.0,1009.0,994.0,0.6,125.0,1.62,1.0,"2024-05-01 05:26:43+08:00","2024-05-01 18:12:10+08:00",800.0,"Clear","clear sky","01n","2024-05-01 00:07:42.397004+08:00","Ilagan","","",""
10000.0,"2024-05-01 00:07:43+08:00",124.4,8.25,24.32,25.24,24.32,24.32,1010.0,93.0,1010.0,974.0,1.19,107.0,0.39,100.0,"2024-05-01 05:26:57+08:00","2024-05-01 17:51:51+08:00",804.0,"Clouds","overcast clouds","04n","2024-05-01 00:07:43.850974+08:00","Iligan City","","",""
10000.0,"2024-05-01 00:05:02+08:00",122.55,10.75,28.18,31.6,28.18,28.18,1008.0,74.0,1008.0,1007.0,3.31,359.0,5.46,99.0,"2024-05-01 05:31:33+08:00","2024-05-01 18:02:04+08:00",804.0,"Clouds","overcast clouds","04n","2024-05-01 00:07:45.266054+08:00","Iloilo City","","",""
10000.0,"2024-05-01 00:05:10+08:00",120.9367,14.4297,29.59,36.43,29.43,30.07,1009.0,80.0,"","",3.6,120.0,"",20.0,"2024-05-01 05:33:46+08:00","2024-05-01 18:12:45+08:00",801.0,"Clouds","few clouds","02n","2024-05-01 00:07:47.692812+08:00","Imus",2.0,2037715.0,""
10000.0,"2024-05-01 00:07:48+08:00",123.4167,13.4167,24.29,25.28,24.29,24.29,1010.0,96.0,1010.0,989.0,1.19,65.0,1.81,53.0,"2024-05-01 05:25:01+08:00","2024-05-01 18:01:39+08:00",803.0,"Clouds","broken clouds","04n","2024-05-01 00:07:48.801833+08:00","Iriga City","","",""
10000.0,"2024-05-01 00:07:51+08:00",122.9888,10.2048,27.84,31.14,27.84,27.84,1009.0,76.0,1009.0,988.0,3.44,110.0,5.82,100.0,"2024-05-01 05:30:24+08:00","2024-05-01 17:59:41+08:00",500.0,"Rain","light rain","10n","2024-05-01 00:07:51.365566+08:00","Isabela","","",0.52
10000.0,"2024-05-01 00:07:53+08:00",122.8122,9.9889,27.64,30.7,27.64,27.64,1009.0,76.0,1009.0,989.0,1.76,135.0,2.19,100.0,"2024-05-01 05:31:21+08:00","2024-05-01 18:00:09+08:00",500.0,"Rain","light rain","10n","2024-05-01 00:07:53.601274+08:00","Kabankalan","","",0.17
10000.0,"2024-05-01 00:05:43+08:00",125.0894,7.0083,23.87,24.82,23.87,23.87,1011.0,96.0,1011.0,952.0,0.47,50.0,0.46,100.0,"2024-05-01 05:25:34+08:00","2024-05-01 17:47:43+08:00",500.0,"Rain","light rain","10n","2024-05-01 00:07:56.108092+08:00","Kidapawan","","",0.29
